start;end;start_speed;end_speed;Wh;Ah;L/h;L/km;NOx;CO;HC;PM;CO2;battery_degradation
(43.380896, -5.819522, 180.5348407542333);(43.380073, -5.818807, 185.8066204413772);5.522615991905968;10.29825569434419;122.66554361979168;0.3066638590494792;0.0;0.0;0.005987605571681844;0.022453520893806915;0.0019459718107965995;0.00014969013929204612;0.0;8.344611230967304e-08
(43.380073, -5.818807, 185.8066204413772);(43.379347, -5.81795, 189.9334574714303);10.29825569434419;7.255998755813702;245.36013657251993;0.6134003414312998;0.0;0.0;0.0014979563942118565;0.005617336478294462;0.00048683582811885335;3.744890985529641e-05;0.0;1.669120071178535e-07
(43.379347, -5.81795, 189.9334574714303);(43.378657, -5.818792, 192.9011971373111);7.255998755813702;12.16172971420825;116.52734082539877;0.29131835206349693;0.0;0.0;0.004786757934398509;0.017950342253994406;0.001555696328679515;0.00011966894835996271;0.0;7.927047977702272e-08
(43.378657, -5.818792, 192.9011971373111);(43.37842, -5.820051, 194.8012808347121);12.16172971420825;8.189719235395343;-4487.952426360295;-11.219881065900738;0.0;0.0;-0.0021682266761697067;-0.0081308500356364;-0.0007046736697551546;-5.4205666904242666e-05;0.0;7.927048356809981e-08
(43.37842, -5.820051, 194.8012808347121);(43.378431, -5.821291, 196.0775181204081);8.189719235395343;6.999631418624607;226.93778603871664;0.5673444650967916;0.0;0.0;0.0007452818466098002;0.00279480692478675;0.000242216600148185;1.8632046165245004e-05;0.0;1.5437981489739628e-07
(43.378431, -5.821291, 196.0775181204081);(43.377471, -5.821557, 199.4852359043434);6.999631418624607;10.56803979098385;91.978227074941;0.2299455676873525;0.0;0.0;0.006416877932154938;0.024063292245581017;0.0020854853279503546;0.00016042194830387344;0.0;6.25703818218426e-08
(43.377471, -5.821557, 199.4852359043434);(43.376605, -5.822076, 207.2347946595401);10.56803979098385;8.332730489724538;61.348034572601314;0.1533700864315033;0.0;0.0;0.008659813614416766;0.03247430105406287;0.002814439424685449;0.00021649534036041914;0.0;4.1733466005856224e-08
(43.376605, -5.822076, 207.2347946595401);(43.375798, -5.822731, 208.836428752169);8.332730489724538;7.143484550216635;122.64347677230835;0.3066086919307709;0.0;0.0;0.00142614827381451;0.005348056026804413;0.00046349818898971576;3.5653706845362744e-05;0.0;8.343116004439822e-08
(43.375798, -5.822731, 208.836428752169);(43.375058, -5.823656, 203.4406726900488);7.143484550216635;12.37425422980762;61.34513409932455;0.15336283524831137;0.0;0.0;0.002535623017481654;0.009508586315556202;0.0008240774806815375;6.339057543704135e-05;0.0;4.173149919211028e-08
(43.375058, -5.823656, 203.4406726900488);(43.374323, -5.824484, 198.6566532161087);12.37425422980762;10.6373363560142;-16296.059760285292;-40.74014940071323;0.0;0.0;-0.00787051889578092;-0.029514445859178447;-0.002557918641128799;-0.000196762972394523;0.0;4.173150024286087e-08
(43.374323, -5.824484, 198.6566532161087);(43.373445, -5.824914, 189.6417525075376);10.6373363560142;5.910137899546125;-31111.32854147366;-77.77832135368415;0.0;0.0;-0.0071199105788262015;-0.026699664670598255;-0.0023139709381185154;-0.00017799776447065504;0.0;4.173150024286087e-08
(43.373445, -5.824914, 189.6417525075376);(43.373213, -5.826183, 194.7634818609804);5.910137899546125;7.70284808730333;239.20030635197958;0.598000765879949;0.0;0.0;0.0022798836756825194;0.008549563783809448;0.0007409621945968188;5.6997091892062986e-05;0.0;1.6272176114407935e-07
(43.373213, -5.826183, 194.7634818609804);(43.373309, -5.827472, 197.7329359510913);7.70284808730333;9.631341512555364;67.47099068959554;0.16867747672398883;0.0;0.0;0.00726002916966925;0.02722510938625969;0.0023595094801425066;0.00018150072924173128;0.0;4.58987714830054e-08
(43.373309, -5.827472, 197.7329359510913);(43.373441, -5.828706, 196.643400461413);9.631341512555364;7.267916411378846;-6310.7535077129105;-15.776883769282277;0.0;0.0;-0.002495024944059059;-0.009356343540221471;-0.0008108831068191942;-6.237562360147647e-05;0.0;4.5898772753976875e-08
(43.373441, -5.828706, 196.643400461413);(43.373763, -5.830057, 199.1244101077318);7.267916411378846;8.435885991852476;141.0738121986389;0.35268453049659726;0.0;0.0;0.0025133192705642754;0.009424947264616033;0.0008168287629333894;6.283298176410688e-05;0.0;9.59688757875199e-08
(43.373763, -5.830057, 199.1244101077318);(43.374698, -5.829718, 205.0144874127582);8.435885991852476;4.714433857068373;171.7407727877299;0.42935193196932475;0.0;0.0;0.002623964810594325;0.009839868039728717;0.0008527885634431556;6.559912026485812e-05;0.0;1.1683083236164294e-07
(43.374698, -5.829718, 205.0144874127582);(43.375488, -5.830547, 202.6884915167466);4.714433857068373;5.109512088748111;-3155.387127990015;-7.8884678199750375;0.0;0.0;-0.0003048717023016927;-0.0011432688836313476;-9.908330324805012e-05;-7.6217925575423175e-06;0.0;1.1683084059654902e-07
(43.375488, -5.830547, 202.6884915167466);(43.375836, -5.831714, 194.0268001630902);5.109512088748111;5.160217386253258;-22502.614818232218;-56.256537045580544;0.0;0.0;-0.005436969772839562;-0.020388636648148356;-0.0017670151761728574;-0.00013592424432098905;0.0;1.1683084059654902e-07
(43.375836, -5.831714, 194.0268001630902);(43.374902, -5.83192, 200.0340875275433);5.160217386253258;8.226168134198803;153.3318125406901;0.38332953135172526;0.0;0.0;0.0044346869879428995;0.016630076204785873;0.0014412732710814425;0.0001108671746985725;0.0;1.0430770430076563e-07
